RunTime,Database,BatchSize,Parallel,Comment,Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,1,../../data/meterdata/london/block_71.csv,24/04/2025 12:26:06 +02:00,24/04/2025 12:26:13 +02:00,7000,1384128,864
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,2,../../data/meterdata/london/block_65.csv,24/04/2025 12:26:13 +02:00,24/04/2025 12:26:20 +02:00,7000,1330608,882
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,3,../../data/meterdata/london/block_59.csv,24/04/2025 12:26:20 +02:00,24/04/2025 12:26:27 +02:00,7000,1425696,846
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,4,../../data/meterdata/london/block_58.csv,24/04/2025 12:26:27 +02:00,24/04/2025 12:26:33 +02:00,6000,1470144,900
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,5,../../data/meterdata/london/block_64.csv,24/04/2025 12:26:33 +02:00,24/04/2025 12:26:41 +02:00,8000,1509264,869
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,6,../../data/meterdata/london/block_70.csv,24/04/2025 12:26:41 +02:00,24/04/2025 12:26:47 +02:00,6000,1383312,864
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,7,../../data/meterdata/london/block_99.csv,24/04/2025 12:26:47 +02:00,24/04/2025 12:26:55 +02:00,8000,1594800,900
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,8,../../data/meterdata/london/block_66.csv,24/04/2025 12:26:55 +02:00,24/04/2025 12:27:01 +02:00,6000,1288656,882
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,9,../../data/meterdata/london/block_72.csv,24/04/2025 12:27:01 +02:00,24/04/2025 12:27:07 +02:00,6000,1387248,900
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,10,../../data/meterdata/london/block_73.csv,24/04/2025 12:27:07 +02:00,24/04/2025 12:27:16 +02:00,9000,1368000,882
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,11,../../data/meterdata/london/block_67.csv,24/04/2025 12:27:16 +02:00,24/04/2025 12:27:24 +02:00,8000,1429104,900
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,12,../../data/meterdata/london/block_98.csv,24/04/2025 12:27:24 +02:00,24/04/2025 12:27:33 +02:00,9000,1617744,900
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,13,../../data/meterdata/london/block_88.csv,24/04/2025 12:27:33 +02:00,24/04/2025 12:27:41 +02:00,8000,1394064,864
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,14,../../data/meterdata/london/block_63.csv,24/04/2025 12:27:41 +02:00,24/04/2025 12:27:51 +02:00,10000,1552896,887
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,15,../../data/meterdata/london/block_77.csv,24/04/2025 12:27:51 +02:00,24/04/2025 12:28:02 +02:00,11000,1503408,900
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,16,../../data/meterdata/london/block_76.csv,24/04/2025 12:28:02 +02:00,24/04/2025 12:28:12 +02:00,10000,1537920,882
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,17,../../data/meterdata/london/block_62.csv,24/04/2025 12:28:12 +02:00,24/04/2025 12:28:24 +02:00,12000,1492608,887
2025-04-24T13:03:09,timescaledb,1000,S,hypertable,18,../../data/meterdata/london/block_89.csv,24/04/2025 12:28:24 +02:00,24/04/2025 12:28:35 +02:00,11000,1410384,882
