Sequence,FileName,Start,End,Duration,TotalRecords,TotalInifiniteValues
95,../../data/meterdata/london/block_81.csv,24/04/2025 16:55:07 +02:00,24/04/2025 16:55:11 +02:00,4623,1337952,882
96,../../data/meterdata/london/block_95.csv,24/04/2025 16:55:11 +02:00,24/04/2025 16:55:16 +02:00,4870,1530720,910
97,../../data/meterdata/london/block_42.csv,24/04/2025 16:55:16 +02:00,24/04/2025 16:55:22 +02:00,5923,1534080,900
98,../../data/meterdata/london/block_56.csv,24/04/2025 16:55:22 +02:00,24/04/2025 16:55:28 +02:00,5439,1514448,900
99,../../data/meterdata/london/block_57.csv,24/04/2025 16:55:28 +02:00,24/04/2025 16:55:32 +02:00,4843,1494432,864
100,../../data/meterdata/london/block_43.csv,24/04/2025 16:55:33 +02:00,24/04/2025 16:55:38 +02:00,5171,1525056,900
101,../../data/meterdata/london/block_94.csv,24/04/2025 16:55:38 +02:00,24/04/2025 16:55:45 +02:00,6464,1605216,900
102,../../data/meterdata/london/block_80.csv,24/04/2025 16:55:45 +02:00,24/04/2025 16:55:50 +02:00,4867,1393968,864
103,../../data/meterdata/london/block_96.csv,24/04/2025 16:55:50 +02:00,24/04/2025 16:55:55 +02:00,5543,1545456,905
104,../../data/meterdata/london/block_82.csv,24/04/2025 16:55:55 +02:00,24/04/2025 16:56:00 +02:00,4859,1356192,900
105,../../data/meterdata/london/block_69.csv,24/04/2025 16:56:00 +02:00,24/04/2025 16:56:05 +02:00,4955,1347168,900
106,../../data/meterdata/london/block_55.csv,24/04/2025 16:56:05 +02:00,24/04/2025 16:56:10 +02:00,5354,1462800,900
107,../../data/meterdata/london/block_41.csv,24/04/2025 16:56:10 +02:00,24/04/2025 16:56:16 +02:00,5352,1490496,882
108,../../data/meterdata/london/block_40.csv,24/04/2025 16:56:16 +02:00,24/04/2025 16:56:22 +02:00,6284,1515408,911
109,../../data/meterdata/london/block_54.csv,24/04/2025 16:56:22 +02:00,24/04/2025 16:56:27 +02:00,5432,1504848,900
110,../../data/meterdata/london/block_68.csv,24/04/2025 16:56:27 +02:00,24/04/2025 16:56:33 +02:00,5267,1424208,864
111,../../data/meterdata/london/block_83.csv,24/04/2025 16:56:33 +02:00,24/04/2025 16:56:38 +02:00,5265,1425840,887
112,../../data/meterdata/london/block_97.csv,24/04/2025 16:56:38 +02:00,24/04/2025 16:56:43 +02:00,5379,1535664,900
